x,y,psi_abs
1,1,0.0039656488359168405
1,2,0.023690815966644217
1,3,0.01378625571795152
1,4,0.004464971142713561
1,5,0.012457939485190484
1,6,0.0011971928292719035
1,7,0.0019722017419848896
1,8,0.008852605571678319
1,9,0.03442295340433841
1,10,0.012993621694786399
1,11,0.04345066038643097
1,12,0.017128928287084278
1,13,0.022497775075360958
1,14,0.0126054791637395
1,15,0.012090562732899483
1,16,0.0047072209302060145
1,17,0.0011744200815163716
1,18,0.0049989627561686555
1,19,0.010211396519198985
1,20,0.019962292004162035
1,21,0.0037828011168406957
1,22,0.0035104275332513515
1,23,0.031209644698307844
1,24,0.008289775545178802
1,25,0.038077310443285106
1,26,0.021619255985795137
1,27,0.011866932009029841
1,28,0.044162366504512336
1,29,0.0073349405509037496
1,30,0.02694234078188644
1,31,0.03932399289995595
1,32,0.01827246988158805
1,33,0.017221904564553855
1,34,0.021744858192710072
1,35,0.0284038912802767
1,36,0.02891051278636474
1,37,0.029686388460725296
1,38,0.01966702211634306
1,39,0.030643815325459046
1,40,0.0027912402364693905
1,41,0.0023364664179566347
1,42,0.010256092357125738
1,43,0.009821792671154232
1,44,0.007104428804146954
1,45,0.008662896200734118
1,46,0.006480549825023542
1,47,0.0016415235398440711
1,48,0.002673261175692383
1,49,0.012145363846388117
1,50,0.004015381711762084
2,1,0.023690815966643956
2,2,0.017751904553868412
2,3,0.028155787109357826
2,4,0.026244195203141977
2,5,0.005662163971985557
2,6,0.014430141227175475
2,7,0.010049798400950341
2,8,0.032450751662353616
2,9,0.004141016123108026
2,10,0.009027706982092537
2,11,0.004135306592297972
2,12,0.020952885311070178
2,13,0.004523449123344817
2,14,0.010407212342461562
2,15,0.00789825823353359
2,16,0.01326498281441561
2,17,0.00029174182596253956
2,18,0.009036976437682599
2,19,0.014963329247993493
2,20,0.006428595402358376
2,21,0.0164518644709108
2,22,0.02742684358146713
2,23,0.011800203078430094
2,24,0.006867665744977286
2,25,0.029909031530974045
2,26,0.026210378434255388
2,27,0.022543110518717095
2,28,0.019201872559933657
