E,r,l1_q2.0,l1_q3.0,l5_q2.0,l5_q3.0,l10_q2.0,l10_q3.0
0.1157421652,1,0.09009642565,0.01138511882,0.2524337921,0.07667005575,0.328649652,0.116158278
0.1173898328,1,0.1590409016,0.03418742712,0.4793143117,0.2351501721,0.4919229435,0.2447889907
0.1174589866,1,0.1428979004,0.02679235424,0.4502403761,0.2245334097,0.8586793767,0.7900462892
0.1195770751,1,0.06764441425,0.006691963448,0.2142684112,0.05644938665,0.3693637502,0.1608558017
0.1205128783,1,0.07390240072,0.00912569646,0.2604232702,0.1021096546,0.3848038388,0.1918964297
0.1209949034,1,0.07805092143,0.009721371313,0.2019841476,0.05260017762,0.2932783423,0.1009123698
0.1213378652,1,0.1426839572,0.02796422007,0.4454327702,0.2121559184,0.5033967763,0.2595034515
0.1159311426,2,0.1476496398,0.02691999015,0.4383488187,0.2043207115,0.8761301947,0.8167559716
0.1161596888,2,0.1226574764,0.02016798064,0.356374172,0.1511327642,0.4663629088,0.2262100102
0.1184303233,2,0.3003306621,0.1119419189,0.6862837162,0.541712039,0.7021385967,0.5547433728
0.1191425223,2,0.1288338366,0.02038325366,0.4015933458,0.1774780913,0.8019785043,0.7095620968
0.1207054417,2,0.1591640084,0.03222548569,0.3917926819,0.1778050567,0.7344549839,0.6118973031
0.1213728426,2,0.1420369034,0.02904107281,0.4915145641,0.3076504489,0.7390630002,0.6240279408
0.1140784881,3,0.0792035652,0.008714731971,0.2472901407,0.07592148375,0.4150204199,0.194782842
0.1146395526,3,0.1034711465,0.01301916084,0.2939750531,0.1026030798,0.5254640928,0.2949568049
0.1149451464,3,0.1077165024,0.01632134835,0.2797453544,0.08504661375,0.4741413892,0.241591582
0.1165854378,3,0.06730399799,0.00577941686,0.2334572713,0.06632231823,0.3775129882,0.1560709268
0.1180965411,3,0.07019084815,0.006505744258,0.2608417968,0.08830547173,0.4311991507,0.2385727481
0.1183129096,3,0.07752043427,0.01050381031,0.254761562,0.09602784353,0.3096072831,0.1189875758
0.1196145667,3,0.0759605534,0.007849596241,0.2464496554,0.07837629857,0.3991634324,0.1793466692
0.1152081836,4,0.1791261593,0.03709481071,0.6595966815,0.5147818475,0.8080528443,0.7129315096
0.1156452265,4,0.1188299311,0.02004902064,0.3588307411,0.1472572203,0.5524837906,0.3318607765
0.1156843768,4,0.1349331259,0.03004682807,0.2944564618,0.100478937,0.5527779395,0.3718570996
0.1172690507,4,0.1561516939,0.03290772274,0.5128680911,0.3197775651,0.8359159035,0.7609379116
0.1211844227,4,0.2157178596,0.06736031391,0.5848654199,0.4204809833,0.8193833339,0.735668276
0.1139824191,5,0.193216124,0.04710918259,0.5563147213,0.3764426132,0.5943369127,0.3928419383
0.1160778078,5,0.08225492094,0.009517207033,0.2397033379,0.06706712403,0.4528500587,0.2265911951
0.1174066961,5,0.1625749475,0.03455543054,0.4104809829,0.2050116604,0.7301218959,0.6086902938
0.1176162543,5,0.0773751009,0.008123177627,0.2729087032,0.0917632274,0.5415234647,0.3638647978
0.1205311107,5,0.2561740209,0.0858436544,0.6605077336,0.5116197161,0.9031116726,0.8561634112
0.1212718994,5,0.1022430576,0.01319857542,0.3491692248,0.1511251548,0.5069686691,0.2857133811
0.1141603605,6,0.1882761513,0.05101272053,0.4416135679,0.2482722571,0.6750971104,0.5301115566
0.1155715429,6,0.09713004546,0.01669695907,0.3105774294,0.141246164,0.4487342873,0.2541024487
0.1172884144,6,0.1135669688,0.01606135905,0.4131121378,0.1969790835,0.5154652755,0.286836365
0.119657953,6,0.1659305041,0.03599628565,0.6234813748,0.4703257676,0.6578407734,0.4982318629
0.1203492518,6,0.08507061748,0.008734934579,0.2556897312,0.08187043482,0.4228710229,0.1983595381
0.1205543583,6,0.09505726263,0.01134026437,0.2910377124,0.09951890489,0.5396774693,0.3570362458
0.1207093411,6,0.335228678,0.1348181597,0.8184166697,0.7364215562,0.9024433371,0.8557937819
0.1189702997,7,0.1942678019,0.05542606149,0.4899126893,0.3208634767,0.5148816634,0.3382430406
