E,r,l1_q2,l1_q3,l5_q2,l5_q3,l10_q2,l10_q3
0.01001379112,1,0.0001223512625,2.654154831e-8,0.001485970632,2.55410053e-6,0.005497049438,3.249068533e-5
0.01001379112,1,0.0001223512625,2.654154831e-8,0.001485970632,2.55410053e-6,0.005497049438,3.249068533e-5
0.009977360718,1,0.0001259180403,2.846026375e-8,0.001550638049,2.903831442e-6,0.005693038564,3.58298721e-5
0.009977360718,1,0.0001259180403,2.846026375e-8,0.001550638049,2.903831442e-6,0.005693038564,3.58298721e-5
0.01003655954,1,0.0001204564779,2.584556311e-8,0.001476964538,2.529683758e-6,0.005477435318,3.253205681e-5
0.01003655954,1,0.0001204564779,2.584556312e-8,0.001476964538,2.529683758e-6,0.005477435318,3.253205681e-5
0.009957047608,1,0.0001224965063,2.704192606e-8,0.001492706531,2.613870097e-6,0.005588050295,3.457000368e-5
0.009957047608,1,0.0001224965063,2.704192606e-8,0.001492706531,2.613870097e-6,0.005588050295,3.457000368e-5
0.01006060804,1,0.0001213755065,2.679157414e-8,0.001478208987,2.565512003e-6,0.005530730006,3.383468416e-5
0.01006060804,1,0.0001213755065,2.679157414e-8,0.001478208987,2.565512003e-6,0.005530730006,3.383468415e-5
0.009933687004,1,0.0001250924762,2.852804411e-8,0.001526810095,2.857810832e-6,0.005704757487,3.70426369e-5
0.009933687004,1,0.0001250924762,2.852804411e-8,0.001526810095,2.857810832e-6,0.005704757487,3.70426369e-5
0.00990752652,1,0.0001309451537,3.362562789e-8,0.00160683418,3.364989572e-6,0.005936778774,4.250031999e-5
0.00990752652,1,0.0001309451537,3.362562789e-8,0.00160683418,3.364989572e-6,0.005936778774,4.250031999e-5
0.01009862789,1,0.0001225181638,2.661026847e-8,0.001502540977,2.65467206e-6,0.005594036084,3.448368711e-5
0.01009862789,1,0.0001225181638,2.661026847e-8,0.001502540977,2.65467206e-6,0.005594036084,3.448368711e-5
0.009891288334,1,0.000122904304,2.659588114e-8,0.001486914017,2.60004006e-6,0.005537706894,3.376185517e-5
0.009891288334,1,0.000122904304,2.659588114e-8,0.001486914017,2.60004006e-6,0.005537706894,3.376185517e-5
0.01013152829,1,0.0001187324885,2.459662806e-8,0.001477349959,2.547272282e-6,0.005521595354,3.369766327e-5
0.01013152829,1,0.0001187324885,2.459662806e-8,0.001477349959,2.547272282e-6,0.005521595354,3.369766327e-5
0.01015139456,1,0.0001260920519,3.015886001e-8,0.00150906903,2.686077406e-6,0.005610250234,3.474956688e-5
0.01015139456,1,0.0001260920519,3.015886001e-8,0.00150906903,2.686077406e-6,0.005610250234,3.474956689e-5
0.009832296513,1,0.0001252517996,2.981698672e-8,0.001491733795,2.654433434e-6,0.005572582597,3.51587795e-5
0.009832296513,1,0.0001252517996,2.981698672e-8,0.001491733795,2.654433434e-6,0.005572582597,3.51587795e-5
0.009807894688,1,0.0001256542485,2.84198169e-8,0.001543684914,2.888451541e-6,0.005727824201,3.727438406e-5
0.009807894688,1,0.0001256542485,2.84198169e-8,0.001543684914,2.888451541e-6,0.005727824201,3.727438406e-5
0.0101922735,1,0.0001221608189,2.646337298e-8,0.001484671016,2.571287896e-6,0.005541980563,3.372702118e-5
0.0101922735,1,0.0001221608189,2.646337298e-8,0.001484671016,2.571287896e-6,0.005541980563,3.372702118e-5
0.009781484575,1,0.0001247113118,2.892327427e-8,0.001497628468,2.692542545e-6,0.00552024647,3.374358448e-5
0.009781484575,1,0.0001247113118,2.892327427e-8,0.001497628468,2.692542545e-6,0.00552024647,3.374358448e-5
0.0102314427,1,0.0001236466934,2.898598453e-8,0.001526470711,2.80420677e-6,0.005647684225,3.578042743e-5
0.0102314427,1,0.0001236466934,2.898598453e-8,0.001526470711,2.80420677e-6,0.005647684225,3.578042743e-5
0.01025170199,1,0.0001165268851,2.338155642e-8,0.001420717816,2.275967739e-6,0.005295479523,2.963828232e-5
0.01025170199,1,0.0001165268851,2.338155642e-8,0.001420717816,2.275967739e-6,0.005295479523,2.963828232e-5
0.009744944827,1,0.0001335031246,3.504697537e-8,0.001601101703,3.233221759e-6,0.005892108818,4.0553661e-5
0.009744944827,1,0.0001335031246,3.504697537e-8,0.001601101703,3.233221759e-6,0.005892108818,4.0553661e-5
0.009727084028,1,0.0001214267981,2.645322454e-8,0.001472314058,2.531808777e-6,0.005460109745,3.247538441e-5
0.009727084028,1,0.0001214267981,2.645322454e-8,0.001472314058,2.531808777e-6,0.005460109745,3.247538441e-5
0.01027981648,1,0.0001235411002,2.844922642e-8,0.001496485321,2.660681735e-6,0.005572308997,3.482205364e-5
0.01027981648,1,0.0001235411002,2.844922642e-8,0.001496485321,2.660681735e-6,0.005572308997,3.482205363e-5
0.01030958504,1,0.0001243182772,2.928421588e-8,0.001520000723,2.827824569e-6,0.005638852198,3.615065027e-5
0.01030958504,1,0.0001243182772,2.928421588e-8,0.001520000723,2.827824569e-6,0.005638852198,3.615065027e-5
0.009683164323,1,0.000117888755,2.396803737e-8,0.001430716875,2.30924573e-6,0.005337011168,3.031365471e-5
0.009683164323,1,0.000117888755,2.396803737e-8,0.001430716875,2.30924573e-6,0.005337011168,3.031365471e-5
0.009668362492,1,0.0001204273571,2.508727837e-8,0.001486861034,2.558266067e-6,0.005543304067,3.344314289e-5
0.009668362492,1,0.0001204273571,2.508727837e-8,0.001486861034,2.558266067e-6,0.005543304067,3.344314289e-5
0.01033650338,1,0.0001233979083,2.758966161e-8,0.001487735238,2.588368622e-6,0.005556317058,3.39745666e-5
