x,y,psi_abs
1,1,0.05989881202191541
1,2,0.06794997284690574
1,3,0.12311922147208915
1,4,0.09793848346369871
1,5,0.10296906804214798
1,6,0.14703828636392627
1,7,0.15598684714879077
1,8,0.14830249497468148
1,9,0.1554773151073808
1,10,0.14275898017557906
1,11,0.15424633019397813
1,12,0.15033502274068689
1,13,0.1673766804095609
1,14,0.18230531828742852
1,15,0.17905176475867984
1,16,0.18944090476311906
1,17,0.15809305470355264
1,18,0.14003242789693435
1,19,0.12244149050327399
1,20,0.12277110440087784
1,21,0.12949631219060703
1,22,0.09947269312341521
1,23,0.10022063254652203
1,24,0.1246276886127086
1,25,0.05101680158663292
1,26,0.046672676178156305
1,27,0.16936304870341642
1,28,0.08708447453511811
1,29,0.019174451160898897
1,30,0.039647222528697054
1,31,0.008133881672300893
2,1,0.0419205037409848
2,2,0.02685503551878545
2,3,0.026773452008081813
2,4,0.02212750702211784
2,5,0.0026077049626450867
2,6,0.029666970688221418
2,7,0.008903863386612367
2,8,0.00573490091818487
2,9,0.009743877896419567
2,10,0.008994851006442057
2,11,0.007733092654271011
2,12,0.02751923722664128
2,13,0.024493043798380812
2,14,0.020510993636636214
2,15,0.006635832396912802
2,16,0.0086108523206717
2,17,0.015801044422100965
2,18,0.019094883715566134
2,19,0.017313231668451712
2,20,0.026356060008404375
2,21,0.01570716209764215
2,22,0.023421904092618122
2,23,0.04363079815142095
2,24,0.03675333369889026
2,25,0.021298869444831964
2,26,0.04147786076189694
2,27,0.07449306956423929
2,28,0.004494457735135181
2,29,0.02265084971840043
2,30,0.0194001726771548
2,31,0.0049730760315382224
3,1,0.07386326998942076
3,2,0.005948983272598482
3,3,0.021091096326149396
3,4,0.023052093432231233
3,5,0.006805968748973139
3,6,0.0061470248506789536
3,7,0.010702231891693472
3,8,0.0050510162786616825
3,9,0.007935095745920407
3,10,0.027698079618326203
3,11,0.0018804809590292025
3,12,0.012265446504658124
3,13,0.009431468345571747
3,14,0.02023068507001953
3,15,0.03538398268296891
3,16,0.020553264081363907
3,17,0.009178905474682022
3,18,0.06123835045870156
3,19,0.023467054581145376
3,20,0.02298593271230151
3,21,0.027750489143100802
3,22,0.02873558828396907
3,23,0.011771096287479767
3,24,0.0381402913076893
3,25,0.03133764251178708
3,26,0.0344795554446796
3,27,0.010275717846962488
3,28,0.02935499092182389
3,29,0.006943525980284657
3,30,0.017355652841680308
3,31,0.00817743353347826
4,1,0.013710064545326216
4,2,0.028198138886340412
4,3,0.012654953519674711
4,4,0.004172902902471249
4,5,0.00963906376015473
4,6,0.025549224885543367
4,7,0.021269140285479063
4,8,0.026158139373899148
4,9,0.015564421296105446
4,10,0.011441032499508086
4,11,0.007878221638923362
4,12,0.010670178503183773
4,13,0.011799946669005567
4,14,0.0066645444614752145
4,15,0.05232343793277193
4,16,0.004525205176859982
4,17,0.017290756310627833
4,18,0.05086981585887746
4,19,0.009248197310188217
4,20,0.028688371084890484
4,21,0.03294416390090496
4,22,0.0320568491274182
4,23,0.002830807519584075
4,24,0.02753796381936905
4,25,0.04989072484772458
4,26,0.021009085250260115
4,27,0.01734787452217044
4,28,0.023552019353030206
4,29,0.016435666652406145
4,30,0.01491815326631135
4,31,0.01384198135851385
