x,y,psi_abs
1,1,0.027683226020545026
1,2,0.05416497561453616
1,3,0.008280443945121332
1,4,0.0406678433752569
1,5,0.02731764788342904
1,6,0.053525006043416125
1,7,0.006668955520254551
1,8,0.006475139852260549
1,9,0.04799059871472847
1,10,0.01944607535344788
1,11,0.015068779617965739
1,12,0.00023751459818628867
1,13,0.026200801573228637
1,14,0.014164983229743603
1,15,0.053119457579154705
1,16,0.03250533666422741
1,17,0.00504546644321224
1,18,0.006337721230053947
1,19,0.036434721910434745
1,20,0.035104879138712984
1,21,0.018273408133950914
1,22,0.01801054415290398
1,23,0.034034190375363434
1,24,0.001481063807574617
1,25,0.04855898293821396
1,26,0.008853432548766643
1,27,0.06044993506702362
1,28,0.01880614840069385
1,29,0.011620789550060694
1,30,0.031307056840879886
1,31,0.006803266465527034
2,1,0.038706453760643855
2,2,0.016005683487892757
2,3,0.0199157017688644
2,4,0.005611252301955446
2,5,0.003940997152013791
2,6,0.0033204837732799166
2,7,0.024666546180735716
2,8,0.005013147965761024
2,9,0.008243779710652727
2,10,0.007882407320376386
2,11,0.009327930891840646
2,12,0.015224309915661687
2,13,0.00650829274606169
2,14,0.017974732476738715
2,15,0.06618986796444437
2,16,0.005511826693198444
2,17,0.0037563256673210444
2,18,0.05179048475376169
2,19,0.002712640237572256
2,20,0.030972961460333553
2,21,0.026544253810528183
2,22,0.00018337180068521766
2,23,0.06765308453050144
2,24,0.04914207445177644
2,25,0.02626104169806155
2,26,0.014086212194539807
2,27,0.002682783118935019
2,28,0.018849111203413343
2,29,0.023557420717880508
2,30,0.00487714811925665
2,31,0.04226936297739852
3,1,0.04171682583265399
3,2,0.014012143937654313
3,3,0.04343103305178342
3,4,0.043993372412983046
3,5,0.025897288423386775
3,6,0.03088074698568492
3,7,0.024804775778438592
3,8,0.0024086543408962545
3,9,0.024335957281179595
3,10,0.019983990149399212
3,11,0.007054192294948417
3,12,0.03371946836310795
3,13,0.05463595672784123
3,14,0.0004457869176373555
3,15,0.03181333150837541
3,16,0.017100493316214826
3,17,0.006166346144990233
3,18,0.03137354535435808
3,19,0.0001324920022206721
3,20,0.0021937752128506956
3,21,0.025695752719592093
3,22,0.009217697195918497
3,23,0.0735932885035052
3,24,0.032086869757619846
3,25,0.03272360486729482
3,26,0.03588195379244425
3,27,0.005849562170407654
3,28,0.016569299424754727
3,29,0.010611988575762992
3,30,0.032029840438317726
3,31,0.01923247678175958
4,1,0.006469605824064707
4,2,0.023716266392620207
4,3,0.01169065643391221
4,4,0.006826546793741957
4,5,0.00021204715265262138
4,6,0.013725560875873039
4,7,0.0018377642978293107
4,8,0.00039564535173520566
4,9,0.005454926693434467
4,10,0.017870710692999538
4,11,0.010260893577626785
4,12,0.058112853147109095
4,13,0.022168888852055958
4,14,0.034958736832121445
4,15,0.026700117567498707
4,16,0.006843967418034661
4,17,0.01657887428707451
4,18,0.005516681273167628
4,19,0.05667214847931773
4,20,0.028197717346363418
4,21,0.0628738272179781
4,22,0.026018679706146332
4,23,0.03348437854941272
4,24,0.04666323441925969
4,25,0.03579002793456787
4,26,0.040600983751020434
4,27,0.039211272856101466
4,28,0.04272891745188593
4,29,0.02195072255528709
4,30,0.0670478821849891
4,31,0.005859573582678887
5,1,0.003349118899859181
5,2,0.0020975179924373464
5,3,0.003718439470649997
5,4,0.012726715050754293
5,5,0.04370116667610392
5,6,0.017934551902984073
5,7,0.024982449932217755
5,8,0.017172360252445684
5,9,0.003126261361042329
5,10,0.016303788675402133
5,11,0.01645173979392069
5,12,0.027099842746656902
5,13,0.020177841210726764
5,14,0.023398656857489063
5,15,0.0010662820076028706
5,16,0.012107762581006319
5,17,0.05889520822980306
5,18,0.04011589594323846
5,19,0.005754638350793113
5,20,0.05160338407001075
5,21,0.013740386300552606
5,22,0.011947884428332159
5,23,0.016686895194567574
5,24,0.027837938843133302
5,25,0.008421414182753377
5,26,0.021732400944077343
5,27,0.04159203667687439
5,28,0.02850208509353285
5,29,0.0031583624335765332
5,30,0.003062067527820511
5,31,0.00023628665217472877
6,1,0.006454811582046367
6,2,0.01191314792399149
6,3,0.017861093430245494
6,4,0.008683750772572224
6,5,0.003619148454008911
6,6,0.0001578195202972892
6,7,0.008414562899745405
6,8,0.020784518282855165
6,9,0.01647201274311977
6,10,0.011327327131388737
6,11,0.001736132230116435
6,12,0.016385195158701894
6,13,0.0013206406854054111
6,14,0.008147140901192649
6,15,0.0349997414217685
6,16,0.022274914156732478
6,17,0.015390058024774628
6,18,0.012584941725926934
6,19,0.020260647935720518
6,20,0.026763752016109706
6,21,0.04843442518529096
6,22,0.016107522485945016
6,23,0.03426909220180933
6,24,0.04235811462681202
6,25,0.017162619981039497
