E,r,q2
0.000867367750659,1,0.00604516020131
0.000867367750659,1,0.00604528462473
0.000864856558238,1,0.00641063715358
0.000864856558238,1,0.0064073187247
0.000869979782625,1,0.00667209910163
0.000869979782625,1,0.00666370797764
0.000862832562612,1,0.00643487938822
0.000862832562612,1,0.00643792947154
0.000861043659816,1,0.00608050833897
0.000861043659816,1,0.00607490756936
0.000872222154471,1,0.00726074157336
0.000872222154471,1,0.00728293892772
0.000858719475069,1,0.00649715616098
0.000858719475069,1,0.00649507967969
0.000874556134711,1,0.00595061752293
0.000874556134711,1,0.00594087400724
0.000865728116509,2,0.00725960828271
0.000865728116508,2,0.0072587039015
0.000867537384463,2,0.00677922348939
0.000867537384463,2,0.00677883758679
0.000863626929371,2,0.00595564033469
0.000863626929371,2,0.00595655189164
0.000869725706118,2,0.00627118057581
0.000869725706118,2,0.00627319994269
0.000871415963943,2,0.00660763660964
0.000871415963943,2,0.00660695620448
0.000860844346962,2,0.00666831917233
0.000860844346962,2,0.00666893377962
0.000858246726369,2,0.00650947376825
0.000858246726369,2,0.00650896616452
0.000876015800316,2,0.00606528588192
0.000876015800316,2,0.00605828414792
0.000867811175325,3,0.00650166500148
0.000867811175325,3,0.00650751525714
0.000865153283542,3,0.00652751492389
0.000865153283542,3,0.00652796045696
0.000870093609872,3,0.00705996587419
0.000870093609872,3,0.00703656040645
0.000862878862073,3,0.0063049190949
0.000862878862073,3,0.00630306557485
0.000861143769621,3,0.00619259025264
0.000861143769621,3,0.0061892588679
0.000872439901051,3,0.0061531594049
0.000872439901051,3,0.00614991375241
0.000858994461203,3,0.00660709388011
0.000858994461203,3,0.00660243904664
0.000874203895829,3,0.00664644708279
0.000874203895829,3,0.00664289536076
0.000867533132255,4,0.00811782702587
0.000867533132255,4,0.00811811681391
0.00086471274463,4,0.00614621444747
0.00086471274463,4,0.00614631676073
0.000862765839607,4,0.00679266409358
0.000862765839606,4,0.00678578879022
0.000870968549854,4,0.00636995138695
0.000870968549854,4,0.00637005874105
0.000861363414082,4,0.00587422980846
0.000861363414082,4,0.00587344908352
0.000872231807655,4,0.00633489982098
0.000872231807655,4,0.00633402814033
0.000858808393984,4,0.00606786563314
0.000858808393984,4,0.00606792830554
0.000875842479491,4,0.00802799076944
0.000875842479491,4,0.0080550699572
0.000866700202298,5,0.00703245697926
0.000866700202298,5,0.00703231110652
0.000863625459609,5,0.00784052527468
0.000863625459609,5,0.00782996611864
0.000870043022942,5,0.00665809394977
0.000870043022942,5,0.00665444446965
0.000861729963521,5,0.00609715984358
0.000861729963521,5,0.00605490452748
0.000871932696609,5,0.00623077553531
0.000871932696609,5,0.00625672770267
0.000873716229804,5,0.00646721244037
0.000873716229804,5,0.00649758685579
0.000858789897971,5,0.00690004915455
0.000858789897971,5,0.00695259188491
0.00085597483443,5,0.00679217552006
0.00085597483443,5,0.00676940590185
0.000866902087264,6,0.00801632407006
0.000866902087264,6,0.00801631041943
0.000865056306063,6,0.00682275461629
0.000865056306063,6,0.00682301767473
0.000869727566764,6,0.00687071762453
0.000869727566764,6,0.00686919122487
0.000863108919703,6,0.00592272029156
0.000863108919703,6,0.00592507501005
0.000872527943716,6,0.00657336441707
0.000872527943716,6,0.00655601819217
0.00086005886365,6,0.00643762909129
0.00086005886365,6,0.00645475741143
0.000858655242967,6,0.00763014308917
0.000858655242967,6,0.00764886591061
0.000875417725141,6,0.00583009617917
0.000875417725141,6,0.00584276132114
0.000866051220329,7,0.00676746537677
0.000866051220329,7,0.0067665183706
0.000868258061544,7,0.00839322943907
0.000868258061544,7,0.00839309066817
0.000870370530494,7,0.00691327935808
0.000870370530494,7,0.0069146033351
0.000862623838443,7,0.00641129697864
0.000862623838443,7,0.00641285112179
0.000861665005041,7,0.00655849647807
0.000861665005041,7,0.00656377626136
0.000872627915807,7,0.00638922875271
0.000872627915807,7,0.00636993868793
0.000858703565148,7,0.00750787320396
0.000858703565148,7,0.00750547155683
0.00087510104399,7,0.00635411141874
0.00087510104399,7,0.00634095478867
