E,E_idx,weight,dos
3.9631080035329756e-11,1,19,2.0912931393614856e12
4.989257375332507e-11,2,15,1.3114525165894817e12
6.281102895787572e-11,3,17,1.1806202640841821e12
7.907440049600913e-11,4,7,3.8615294539694354e11
9.95487722068151e-11,5,22,9.64015446273741e11
1.2532447904406838e-10,6,9,3.13259190416821e11
1.577741713884431e-10,7,14,3.870698529210354e11
1.9862591368567953e-10,8,25,5.490366303316916e11
2.5005521017973707e-10,9,28,4.884491330547892e11
3.1480085844680234e-10,10,9,1.2471072994671967e11
3.963108003532976e-10,11,15,1.651020899495909e11
4.989257375332507e-10,12,13,1.1365921810442175e11
6.281102895787572e-10,13,16,1.1111720132557019e11
7.907440049600913e-10,14,11,6.068117713380538e10
9.954877220681511e-10,15,20,8.763776784306741e10
1.2532447904406835e-9,16,15,5.2209865069470184e10
1.577741713884431e-9,17,20,5.5295693274433586e10
1.9862591368567956e-9,18,18,3.9530637383881775e10
2.5005521017973707e-9,19,22,3.837814616859061e10
3.1480085844680227e-9,20,17,2.355647121215816e10
3.9631080035329754e-9,21,19,2.091293139361487e10
4.989257375332513e-9,22,18,1.5737430199073606e10
6.281102895787571e-9,23,22,1.5278615182266176e10
7.907440049600905e-9,24,21,1.1584588361908205e10
9.95487722068151e-9,25,23,1.0078343301952757e10
1.2532447904406836e-8,26,22,7.657446876855625e9
1.577741713884433e-8,27,33,9.123789390281446e9
1.986259136856795e-8,28,27,5.929595607582377e9
2.5005521017973684e-8,29,18,3.1400301410664783e9
3.1480085844680226e-8,30,39,5.404131631024523e9
3.9631080035329756e-8,31,28,3.0819056790590305e9
4.989257375332513e-8,32,22,1.9234636909978876e9
6.281102895787569e-8,33,35,2.4306887789968905e9
7.907440049600905e-8,34,32,1.7652706075288677e9
9.954877220681512e-8,35,27,1.1831098658814116e9
1.2532447904406835e-7,36,35,1.2182301849543035e9
1.5777417138844328e-7,37,44,1.2165052520375266e9
1.986259136856795e-7,38,47,1.0321888650235993e9
2.500552101797369e-7,39,43,7.501183114769914e8
3.148008584468023e-7,40,40,5.542699108743104e8
3.9631080035329757e-7,41,47,5.1731988184205157e8
4.989257375332513e-7,42,43,3.759497214223144e8
6.28110289578757e-7,43,58,4.027998548051989e8
7.907440049600905e-7,44,46,2.5375764983227476e8
9.954877220681512e-7,45,57,2.4976763835274243e8
1.2532447904406835e-6,46,60,2.088394602778806e8
1.577741713884433e-6,47,69,1.907701417967939e8
1.986259136856795e-6,48,65,1.427495238862424e8
2.500552101797369e-6,49,76,1.325790504005846e8
3.148008584468023e-6,50,61,8.452616140833223e7
3.963108003532976e-6,51,86,9.46585315710989e7
4.989257375332513e-6,52,74,6.4698324151747085e7
6.28110289578757e-6,53,92,6.3892390762203984e7
7.907440049600905e-6,54,102,5.626800061498269e7
9.954877220681511e-6,55,122,5.345903838427112e7
1.2532447904406836e-5,56,127,4.4204352425484754e7
1.577741713884433e-5,57,112,3.0965588233682483e7
1.986259136856795e-5,58,126,2.7671446168717783e7
2.5005521017973687e-5,59,156,2.721359455590945e7
3.148008584468023e-5,60,162,2.244793139040955e7
3.963108003532978e-5,61,164,1.8051161834488526e7
4.9892573753325154e-5,62,174,1.521284919243789e7
6.281102895787571e-5,63,210,1.4584132673981337e7
7.907440049600902e-5,64,190,1.048129423220272e7
9.954877220681507e-5,65,256,1.1217634283912586e7
0.00012532447904406845,66,274,9.537002019356495e6
0.00015777417138844338,67,269,7.437270745411275e6
0.0001986259136856795,68,296,6.500593703127349e6
0.0002500552101797367,69,345,6.018391103710782e6
0.0003148008584468021,70,342,4.73900773797533e6
0.00039631080035329783,71,430,4.732926578554915e6
0.0004989257375332515,72,458,4.0043016839865292e6
0.0006281102895787571,73,536,3.7224262444066624e6
0.0007907440049600902,74,551,3.039575327338789e6
0.0009954877220681507,75,652,2.8569912316839853e6
0.0012532447904406844,76,755,2.627896541829985e6
0.0015777417138844335,77,845,2.336243040844807e6
0.001986259136856795,78,942,2.0687700230898485e6
0.0025005521017973675,79,1092,1.9049516189136733e6
0.0031480085844680216,80,1204,1.6683524317316667e6
0.003963108003532978,81,1411,1.553060326125811e6
0.004989257375332514,82,1568,1.3709050306748662e6
0.006281102895787571,83,1958,1.359796751221683e6
0.007907440049600901,84,2241,1.2362410723350707e6
0.009954877220681505,85,2543,1.1143142181245973e6
0.012532447904406843,86,3051,1.061948655513018e6
0.01577741713884433,87,3641,1.0066580960610603e6
0.019862591368567953,88,4348,954884.5074728904
0.025005521017973677,89,5273,919854.3852135367
0.03148008584468022,90,6323,876162.1616145613
0.03963108003532978,91,7889,868326.9250748784
0.049892573753325134,92,9683,846586.3145423933
0.06281102895787571,93,12138,842962.868556118
0.07907440049600903,94,15025,828849.7149412944
0.09954877220681507,95,18447,808326.9517005299
0.1253244790440684,96,22689,789726.4190408031
0.1577741713884433,97,25711,710853.7848894773
0.1986259136856795,98,25096,551144.9309921731
0.25005521017973675,99,15197,265105.7669654863
0.31480085844680217,100,2793,38701.89652679856
