th,m,a
0.01,-0.4305252871503066,0.9782688725452006
0.05,-0.4498167710503497,0.5680588779230686
0.09,-0.516902611610606,0.33593709791312437
0.13,-0.6032863894521835,0.19425823047002794
0.17,-0.6155957916301358,0.2396435418843119
0.21,-0.6229150840717097,0.2918893791954623
0.25,-0.6052329995335036,0.40418639608647783
