r,g_r
1,1.1815625801902263
2,1.2020464557188997
3,1.1928730366134275
4,1.2238898695571223
5,1.2356485066825253
6,1.2494799010938957
7,1.271734993476481
8,1.289693934461073
9,1.2863602031432115
10,1.3087360517295037
11,1.306556148677257
12,1.3205576515603363
13,1.3404610410185425
14,1.3396710648271901
15,1.3513942016490204
16,1.3684791400484888
17,1.3631833558017217
18,1.3928155136356573
19,1.324627907733471
20,1.3850371188578434
