E,r,l1_q2,l1_q3,l5_q2,l5_q3,l10_q2,l10_q3
0.0100000033,1,0.0007279821491,8.377621355e-7,0.01120311633,0.0001391481407,0.0424589446,0.001904464023
0.0100000033,1,0.0007279821491,8.377621355e-7,0.01120311633,0.0001391481407,0.0424589446,0.001904464023
0.009999910046,1,0.0007437304957,8.966578731e-7,0.011270336,0.0001403908749,0.04321069582,0.00200361733
0.009999910046,1,0.0007437304957,8.966578731e-7,0.011270336,0.0001403908749,0.04321069582,0.00200361733
0.01000011759,1,0.0007241030295,8.483956411e-7,0.01116386611,0.0001397004342,0.04242072644,0.00190726475
0.01000011759,1,0.0007241030295,8.483956411e-7,0.01116386611,0.0001397004342,0.04242072644,0.00190726475
0.009999773793,1,0.0007237607812,8.04268257e-7,0.01150942365,0.0001493825031,0.04344956169,0.002036253012
0.009999773793,1,0.0007237607812,8.04268257e-7,0.01150942365,0.0001493825031,0.04344956169,0.002036253012
0.01000024409,1,0.0006854265143,7.084461447e-7,0.01072702982,0.0001222874737,0.04138110972,0.001764423146
0.01000024409,1,0.0006854265143,7.084461447e-7,0.01072702982,0.0001222874737,0.04138110972,0.001764423146
0.009999671386,1,0.0007279310297,8.177340798e-7,0.0115056115,0.0001505848366,0.04352176129,0.002061720218
0.009999671386,1,0.0007279310297,8.177340798e-7,0.0115056115,0.0001505848366,0.04352176129,0.002061720218
0.01000035236,1,0.0007079454607,8.021180339e-7,0.01077855129,0.0001245830095,0.0412871539,0.001759629839
0.01000035236,1,0.0007079454607,8.021180339e-7,0.01077855129,0.0001245830095,0.0412871539,0.001759629839
0.01000038883,1,0.0007061904925,7.485769218e-7,0.01121407707,0.0001383662126,0.04294669333,0.001957842636
0.01000038883,1,0.0007061904925,7.485769218e-7,0.01121407707,0.0001383662126,0.04294669333,0.001957842636
0.009999596495,1,0.000689342406,8.141968881e-7,0.01069553909,0.0001224325388,0.04102024256,0.001726535305
0.009999596495,1,0.000689342406,8.141968881e-7,0.01069553909,0.0001224325388,0.04102024256,0.001726535305
0.009999536083,1,0.0007518904927,1.038035468e-6,0.01125244116,0.0001457932454,0.0419578155,0.001842896469
0.009999536083,1,0.0007518904927,1.038035468e-6,0.01125244116,0.0001457932454,0.0419578155,0.001842896469
0.01000046958,1,0.0007450553675,8.4624053e-7,0.01211302923,0.0001732839136,0.04560760578,0.002313409258
0.01000046958,1,0.0007450553675,8.4624053e-7,0.01211302923,0.0001732839136,0.04560760578,0.002313409258
0.009999465317,1,0.0007281122499,8.171052851e-7,0.01121550968,0.0001383912441,0.04290668428,0.001956124936
