E,r,q1,q2
-0.00026137032176,1,1.0,0.0256417955967
0.000536359381089,1,1.0,0.0590355243582
-0.000656922306721,1,1.0,0.0566599815552
-0.00125758862478,1,1.0,0.0206129458746
0.00175859984457,1,1.0,0.0370568560785
-0.00192208348889,1,1.0,0.122082774635
0.00198010605439,1,1.0,0.0233913392051
0.00238481751947,1,1.0,0.0203196056443
0.00260946165799,1,1.0,0.0148424090965
0.00343729637803,1,1.0,0.0196001844042
-0.00353023371078,1,1.0,0.0421859249717
0.00416332862408,1,1.0,0.0363597777768
0.00456841108276,1,1.0,0.0261547009642
-0.00516402876997,1,1.0,0.0275348281011
0.005252274308,1,1.0,0.0581547023182
-0.00557298197829,1,1.0,0.0835638153078
0.00577158998867,1,1.0,0.0249468137567
-0.00604350859226,1,1.0,0.0204014344447
0.00664670619677,1,1.0,0.0323055060864
-0.00747919559198,1,1.0,0.159236250448
0.00764880674437,1,1.0,0.0265981646909
0.0078510039683,1,1.0,0.0586973639366
0.0080357370803,1,1.0,0.0267445313921
-0.00867187770971,1,1.0,0.027650786296
0.0089135901318,1,1.0,0.0508159558481
-0.000542483269088,2,1.0,0.0926883346232
-0.000755157899096,2,1.0,0.106884708979
0.00131964836597,2,1.0,0.114010109503
0.00182544684046,2,1.0,0.0482116345462
-0.00190534260405,2,1.0,0.0411621170439
0.00242141844353,2,1.0,0.0264456400168
0.00270489446678,2,1.0,0.0451354416638
-0.00387662114296,2,1.0,0.0441477213327
0.00396405730965,2,1.0,0.0439519586203
-0.0051916982899,2,1.0,0.057988206694
-0.00532897895146,2,1.0,0.0566408049494
0.00539024878424,2,1.0,0.0315716875835
-0.00546393699304,2,1.0,0.0691524090134
0.00618979164796,2,1.0,0.022395912388
0.00672258730671,2,1.0,0.03693811514
0.00788176751835,2,1.0,0.0436779140821
-0.007963386778,2,1.0,0.0806269784265
0.0083099025473,2,1.0,0.04497903921
-0.00923175385327,2,1.0,0.0321221735594
0.00932850028462,2,1.0,0.0310094176516
0.00989625620325,2,1.0,0.0310280195535
-0.0100298066666,2,1.0,0.0297730651441
0.0107209369969,2,1.0,0.0429069664559
-0.0115390623568,2,1.0,0.119612633834
-0.0116291323522,2,1.0,0.06210074357
-6.64324420063e-5,3,1.0,0.0346149259823
-0.000549411190298,3,1.0,0.0697785819063
0.000649988361013,3,1.0,0.0371905459884
-0.000794662716013,3,1.0,0.0330379981809
-0.00171348714832,3,1.0,0.107175699502
0.0020228698409,3,1.0,0.0601392491845
0.00246040829275,3,1.0,0.107978958251
-0.00284328097802,3,1.0,0.0456938184459
0.00351220966466,3,1.0,0.136970115215
0.00384862482905,3,1.0,0.0240407692988
-0.00391767928277,3,1.0,0.0627533781834
-0.00404652606007,3,1.0,0.0324084928733
-0.00490816258815,3,1.0,0.0311423940424
0.00521674459442,3,1.0,0.0574569289652
-0.0052290832017,3,1.0,0.0265249400934
-0.00615882128085,3,1.0,0.0485818779519
0.00631209173932,3,1.0,0.0598298437655
0.00658495263643,3,1.0,0.0574700117911
-0.00673097156741,3,1.0,0.0450758869263
-0.00724267566126,3,1.0,0.0274090350427
-0.00753993942142,3,1.0,0.0330280457738
-0.00813111126054,3,1.0,0.110690878428
-0.00912106078033,3,1.0,0.0224553720101
0.00916976274431,3,1.0,0.06059920426
-0.0100526072594,3,1.0,0.0264527344378
0.000117627465949,4,1.0,0.101331750915
-0.000569090804414,4,1.0,0.0298219946905
-0.00126922250557,4,1.0,0.0629684855397
0.0013100933306,4,1.0,0.0377893496206
-0.00151346229185,4,1.0,0.103469985429
0.00162332348064,4,1.0,0.0225183529903
0.00215148724812,4,1.0,0.0260295203254
-0.00216150185143,4,1.0,0.0737823830052
0.0027484186513,4,1.0,0.0244905772616
-0.00342781141779,4,1.0,0.0359928625192
-0.00393959367562,4,1.0,0.0483128556693
-0.00423903352642,4,1.0,0.0398374817826
0.00457918010062,4,1.0,0.0837475186088
-0.00546916400801,4,1.0,0.0224487132695
0.0063755294646,4,1.0,0.0734401942181
0.00717500991181,4,1.0,0.0240643174371
0.00776629279727,4,1.0,0.0296589392188
-0.00791847196073,4,1.0,0.0451205169073
0.00831644453875,4,1.0,0.0151776317734
-0.00883836451921,4,1.0,0.0426919201474
0.00899856878835,4,1.0,0.0925989256631
-0.00945033672035,4,1.0,0.106502214931
0.010735743781,4,1.0,0.11148712228
0.0114014213978,4,1.0,0.0580633469331
-0.0114471210143,4,1.0,0.0433882923986
0.000475660677609,5,1.0,0.0901384011132
-0.000562315507253,5,1.0,0.0836215701791
0.00167636546153,5,1.0,0.0729265029365
0.00212989182157,5,1.0,0.0513172651782
-0.00307534752035,5,1.0,0.0556589398334
0.0036087538241,5,1.0,0.0413434345794
-0.00383297848687,5,1.0,0.0194307172811
-0.00432075649507,5,1.0,0.0513373204289
-0.00466702246453,5,1.0,0.0242809933585
0.00475879466259,5,1.0,0.116479745815
-0.0048364079866,5,1.0,0.0730004428292
0.00515252487,5,1.0,0.0369720087957
-0.00539990526977,5,1.0,0.027809810475
0.00546366033251,5,1.0,0.0885205926601
-0.00597933805127,5,1.0,0.0380309774589
0.0064233143396,5,1.0,0.0581413970879
0.00658476245146,5,1.0,0.0324660938651
-0.00667485169083,5,1.0,0.0453175250411
0.00668249791375,5,1.0,0.0351734230451
0.00713350558289,5,1.0,0.0591906567802
0.00789909756405,5,1.0,0.0700460986458
-0.00817069684192,5,1.0,0.0567505256441
-0.0084023290781,5,1.0,0.0424607863654
0.00859929602753,5,1.0,0.0357794061742
0.00884876888976,5,1.0,0.100120253014
0.000483646772372,6,1.0,0.047967502532
-0.000580966561052,6,1.0,0.120974694819
-0.00123214233275,6,1.0,0.0564540911694
0.00130798479352,6,1.0,0.0401414201385
0.00174518196422,6,1.0,0.0245877326688
-0.00228988437024,6,1.0,0.0452942051938
-0.00240459701456,6,1.0,0.0367291659999
0.00253852398176,6,1.0,0.0220401274444
-0.00292245204228,6,1.0,0.102836676582
0.00301449685121,6,1.0,0.037634447706
0.00355450673222,6,1.0,0.0595481999302
0.00394796609481,6,1.0,0.0304419270525
-0.00414493257609,6,1.0,0.0405036403254
-0.00526832348173,6,1.0,0.0306935968621
0.00666964610854,6,1.0,0.0527375301669
0.00700667877652,6,1.0,0.0404647969435
-0.00782929257092,6,1.0,0.0554899324745
0.00795317884757,6,1.0,0.0554895675109
-0.00805909420157,6,1.0,0.107111211645
-0.00828012201413,6,1.0,0.0417778765514
0.00897526976154,6,1.0,0.102659179656
-0.0091946649911,6,1.0,0.210345565117
-0.00933716021104,6,1.0,0.100459637523
-0.0102889214301,6,1.0,0.0672017977091
0.0104114281103,6,1.0,0.0388370061178
-0.000309419295844,7,1.0,0.0616245485658
0.000384646079081,7,1.0,0.0647947328298
-0.000645840299599,7,1.0,0.078659443917
-0.00104043608698,7,1.0,0.102083797833
0.00215604401754,7,1.0,0.0328576781926
0.00267326020958,7,1.0,0.123320190304
0.00321951034768,7,1.0,0.0704604159161
-0.0040424792182,7,1.0,0.0353839691573
0.0041202412659,7,1.0,0.0397618949343
-0.00451147662774,7,1.0,0.0245127226724
